MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20181225,AL,100.00,0.00,0.00,0.00,0.00,0.00,2018-12-25,2018-12-31,2
20181218,AL,100.00,0.00,0.00,0.00,0.00,0.00,2018-12-18,2018-12-24,2
20181211,AL,100.00,0.00,0.00,0.00,0.00,0.00,2018-12-11,2018-12-17,2
20181204,AL,100.00,0.00,0.00,0.00,0.00,0.00,2018-12-04,2018-12-10,2
20181127,AL,100.00,0.00,0.00,0.00,0.00,0.00,2018-11-27,2018-12-03,2
20181120,AL,100.00,0.00,0.00,0.00,0.00,0.00,2018-11-20,2018-11-26,2
20181113,AL,100.00,0.00,0.00,0.00,0.00,0.00,2018-11-13,2018-11-19,2
20181106,AL,96.47,3.53,0.00,0.00,0.00,0.00,2018-11-06,2018-11-12,2
20181030,AL,87.63,12.37,0.00,0.00,0.00,0.00,2018-10-30,2018-11-05,2
20181023,AL,78.48,21.30,0.22,0.00,0.00,0.00,2018-10-23,2018-10-29,2
20181016,AL,81.32,18.46,0.22,0.00,0.00,0.00,2018-10-16,2018-10-22,2
20181009,AL,82.30,17.04,0.67,0.00,0.00,0.00,2018-10-09,2018-10-15,2
20181002,AL,87.47,12.39,0.14,0.00,0.00,0.00,2018-10-02,2018-10-08,2
20180925,AL,62.25,29.81,7.95,0.00,0.00,0.00,2018-09-25,2018-10-01,2
20180918,AL,65.20,26.66,8.13,0.00,0.00,0.00,2018-09-18,2018-09-24,2
20180911,AL,79.38,16.68,3.94,0.00,0.00,0.00,2018-09-11,2018-09-17,2
20180904,AL,79.37,18.97,1.66,0.00,0.00,0.00,2018-09-04,2018-09-10,2
20180828,AL,87.99,12.01,0.00,0.00,0.00,0.00,2018-08-28,2018-09-03,2
20180821,AL,91.06,8.94,0.00,0.00,0.00,0.00,2018-08-21,2018-08-27,2
20180814,AL,88.83,11.17,0.00,0.00,0.00,0.00,2018-08-14,2018-08-20,2
20180807,AL,91.13,8.87,0.00,0.00,0.00,0.00,2018-08-07,2018-08-13,2
20180731,AL,77.27,22.73,0.00,0.00,0.00,0.00,2018-07-31,2018-08-06,2
20180724,AL,99.44,0.56,0.00,0.00,0.00,0.00,2018-07-24,2018-07-30,2
20180717,AL,99.87,0.13,0.00,0.00,0.00,0.00,2018-07-17,2018-07-23,2
20180710,AL,97.20,2.80,0.00,0.00,0.00,0.00,2018-07-10,2018-07-16,2
20180703,AL,96.31,3.69,0.00,0.00,0.00,0.00,2018-07-03,2018-07-09,2
20180626,AL,90.94,9.06,0.00,0.00,0.00,0.00,2018-06-26,2018-07-02,2
20180619,AL,90.46,9.54,0.00,0.00,0.00,0.00,2018-06-19,2018-06-25,2
20180612,AL,93.10,6.90,0.00,0.00,0.00,0.00,2018-06-12,2018-06-18,2
20180605,AL,92.49,7.51,0.00,0.00,0.00,0.00,2018-06-05,2018-06-11,2
20180529,AL,89.17,10.83,0.00,0.00,0.00,0.00,2018-05-29,2018-06-04,2
20180522,AL,66.04,32.02,1.94,0.00,0.00,0.00,2018-05-22,2018-05-28,2
20180515,AL,60.10,32.55,7.34,0.00,0.00,0.00,2018-05-15,2018-05-21,2
20180508,AL,67.91,29.45,2.64,0.00,0.00,0.00,2018-05-08,2018-05-14,2
20180501,AL,73.05,24.31,2.64,0.00,0.00,0.00,2018-05-01,2018-05-07,2
20180424,AL,75.37,21.99,2.64,0.00,0.00,0.00,2018-04-24,2018-04-30,2
20180417,AL,77.01,20.35,2.64,0.00,0.00,0.00,2018-04-17,2018-04-23,2
20180410,AL,59.53,26.53,13.94,0.00,0.00,0.00,2018-04-10,2018-04-16,2
20180403,AL,54.39,26.71,18.90,0.00,0.00,0.00,2018-04-03,2018-04-09,2
20180327,AL,51.25,28.19,20.55,0.00,0.00,0.00,2018-03-27,2018-04-02,2
20180320,AL,65.93,16.79,17.28,0.00,0.00,0.00,2018-03-20,2018-03-26,2
20180313,AL,68.39,14.33,17.28,0.00,0.00,0.00,2018-03-13,2018-03-19,2
20180306,AL,55.16,27.58,17.26,0.00,0.00,0.00,2018-03-06,2018-03-12,2
20180227,AL,48.01,31.31,20.68,0.00,0.00,0.00,2018-02-27,2018-03-05,2
20180220,AL,36.40,38.89,24.72,0.00,0.00,0.00,2018-02-20,2018-02-26,2
20180213,AL,12.64,49.44,37.92,0.00,0.00,0.00,2018-02-13,2018-02-19,2
20180206,AL,0.00,13.98,46.35,39.67,0.00,0.00,2018-02-06,2018-02-12,2
20180130,AL,0.00,13.10,40.53,43.66,2.71,0.00,2018-01-30,2018-02-05,2
20180123,AL,0.00,22.90,58.08,19.02,0.00,0.00,2018-01-23,2018-01-29,2
20180116,AL,7.21,32.17,54.13,6.50,0.00,0.00,2018-01-16,2018-01-22,2
20180109,AL,10.45,36.24,52.81,0.49,0.00,0.00,2018-01-09,2018-01-15,2
20180102,AL,19.01,54.38,26.60,0.00,0.00,0.00,2018-01-02,2018-01-08,2
20171226,AL,38.82,44.32,16.85,0.00,0.00,0.00,2017-12-26,2018-01-01,2
20181225,FL,71.76,7.69,20.55,0.00,0.00,0.00,2018-12-25,2018-12-31,2
20181218,FL,68.34,11.20,20.46,0.00,0.00,0.00,2018-12-18,2018-12-24,2
20181211,FL,64.68,14.85,20.46,0.00,0.00,0.00,2018-12-11,2018-12-17,2
20181204,FL,66.62,25.44,7.94,0.00,0.00,0.00,2018-12-04,2018-12-10,2
20181127,FL,64.40,26.16,9.44,0.00,0.00,0.00,2018-11-27,2018-12-03,2
20181120,FL,64.40,26.16,9.44,0.00,0.00,0.00,2018-11-20,2018-11-26,2
20181113,FL,63.65,32.56,3.80,0.00,0.00,0.00,2018-11-13,2018-11-19,2
20181106,FL,73.02,26.95,0.03,0.00,0.00,0.00,2018-11-06,2018-11-12,2
20181030,FL,72.63,27.37,0.00,0.00,0.00,0.00,2018-10-30,2018-11-05,2
20181023,FL,91.03,8.97,0.00,0.00,0.00,0.00,2018-10-23,2018-10-29,2
20181016,FL,91.47,8.53,0.00,0.00,0.00,0.00,2018-10-16,2018-10-22,2
20181009,FL,87.91,12.09,0.00,0.00,0.00,0.00,2018-10-09,2018-10-15,2
20181002,FL,93.45,6.55,0.00,0.00,0.00,0.00,2018-10-02,2018-10-08,2
20180925,FL,100.00,0.00,0.00,0.00,0.00,0.00,2018-09-25,2018-10-01,2
20180918,FL,100.00,0.00,0.00,0.00,0.00,0.00,2018-09-18,2018-09-24,2
20180911,FL,100.00,0.00,0.00,0.00,0.00,0.00,2018-09-11,2018-09-17,2
20180904,FL,99.94,0.06,0.00,0.00,0.00,0.00,2018-09-04,2018-09-10,2
20180828,FL,99.74,0.26,0.00,0.00,0.00,0.00,2018-08-28,2018-09-03,2
20180821,FL,99.37,0.63,0.00,0.00,0.00,0.00,2018-08-21,2018-08-27,2
20180814,FL,100.00,0.00,0.00,0.00,0.00,0.00,2018-08-14,2018-08-20,2
20180807,FL,100.00,0.00,0.00,0.00,0.00,0.00,2018-08-07,2018-08-13,2
20180731,FL,100.00,0.00,0.00,0.00,0.00,0.00,2018-07-31,2018-08-06,2
20180724,FL,100.00,0.00,0.00,0.00,0.00,0.00,2018-07-24,2018-07-30,2
20180717,FL,100.00,0.00,0.00,0.00,0.00,0.00,2018-07-17,2018-07-23,2
20180710,FL,99.95,0.05,0.00,0.00,0.00,0.00,2018-07-10,2018-07-16,2
20180703,FL,99.95,0.05,0.00,0.00,0.00,0.00,2018-07-03,2018-07-09,2
20180626,FL,100.00,0.00,0.00,0.00,0.00,0.00,2018-06-26,2018-07-02,2
20180619,FL,100.00,0.00,0.00,0.00,0.00,0.00,2018-06-19,2018-06-25,2
20180612,FL,100.00,0.00,0.00,0.00,0.00,0.00,2018-06-12,2018-06-18,2
20180605,FL,100.00,0.00,0.00,0.00,0.00,0.00,2018-06-05,2018-06-11,2
20180529,FL,100.00,0.00,0.00,0.00,0.00,0.00,2018-05-29,2018-06-04,2
20180522,FL,93.17,6.83,0.00,0.00,0.00,0.00,2018-05-22,2018-05-28,2
20180515,FL,62.18,22.93,13.59,1.30,0.00,0.00,2018-05-15,2018-05-21,2
20180508,FL,46.98,26.13,20.47,6.42,0.00,0.00,2018-05-08,2018-05-14,2
