MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20171226,AL,38.82,44.32,16.85,0.00,0.00,0.00,2017-12-26,2018-01-01,2
20171219,AL,29.35,52.25,18.40,0.00,0.00,0.00,2017-12-19,2017-12-25,2
20171212,AL,34.20,47.99,17.81,0.00,0.00,0.00,2017-12-12,2017-12-18,2
20171205,AL,34.87,51.80,13.32,0.00,0.00,0.00,2017-12-05,2017-12-11,2
20171128,AL,34.91,51.84,13.25,0.00,0.00,0.00,2017-11-28,2017-12-04,2
20171121,AL,74.05,16.75,9.20,0.00,0.00,0.00,2017-11-21,2017-11-27,2
20171114,AL,83.26,16.20,0.54,0.00,0.00,0.00,2017-11-14,2017-11-20,2
20171107,AL,86.92,12.76,0.32,0.00,0.00,0.00,2017-11-07,2017-11-13,2
20171031,AL,86.42,13.16,0.43,0.00,0.00,0.00,2017-10-31,2017-11-06,2
20171024,AL,85.82,13.76,0.43,0.00,0.00,0.00,2017-10-24,2017-10-30,2
20171017,AL,85.78,14.22,0.00,0.00,0.00,0.00,2017-10-17,2017-10-23,2
20171010,AL,95.31,4.69,0.00,0.00,0.00,0.00,2017-10-10,2017-10-16,2
20171003,AL,94.10,5.90,0.00,0.00,0.00,0.00,2017-10-03,2017-10-09,2
20170926,AL,100.00,0.00,0.00,0.00,0.00,0.00,2017-09-26,2017-10-02,2
20170919,AL,100.00,0.00,0.00,0.00,0.00,0.00,2017-09-19,2017-09-25,2
20170912,AL,100.00,0.00,0.00,0.00,0.00,0.00,2017-09-12,2017-09-18,2
20170905,AL,99.86,0.14,0.00,0.00,0.00,0.00,2017-09-05,2017-09-11,2
20170829,AL,99.95,0.05,0.00,0.00,0.00,0.00,2017-08-29,2017-09-04,2
20170822,AL,100.00,0.00,0.00,0.00,0.00,0.00,2017-08-22,2017-08-28,2
20170815,AL,100.00,0.00,0.00,0.00,0.00,0.00,2017-08-15,2017-08-21,2
20170808,AL,100.00,0.00,0.00,0.00,0.00,0.00,2017-08-08,2017-08-14,2
20170801,AL,100.00,0.00,0.00,0.00,0.00,0.00,2017-08-01,2017-08-07,2
20170725,AL,99.95,0.05,0.00,0.00,0.00,0.00,2017-07-25,2017-07-31,2
20170718,AL,99.95,0.05,0.00,0.00,0.00,0.00,2017-07-18,2017-07-24,2
20170711,AL,99.95,0.05,0.00,0.00,0.00,0.00,2017-07-11,2017-07-17,2
20170704,AL,99.22,0.78,0.00,0.00,0.00,0.00,2017-07-04,2017-07-10,2
20170627,AL,98.47,1.53,0.00,0.00,0.00,0.00,2017-06-27,2017-07-03,2
20170620,AL,95.82,4.04,0.14,0.00,0.00,0.00,2017-06-20,2017-06-26,2
20170613,AL,94.34,4.93,0.73,0.00,0.00,0.00,2017-06-13,2017-06-19,2
20170606,AL,93.92,5.35,0.73,0.00,0.00,0.00,2017-06-06,2017-06-12,2
20170530,AL,88.42,11.25,0.33,0.00,0.00,0.00,2017-05-30,2017-06-05,2
20170523,AL,77.96,20.28,1.76,0.00,0.00,0.00,2017-05-23,2017-05-29,2
20170516,AL,40.58,30.48,27.76,1.19,0.00,0.00,2017-05-16,2017-05-22,2
20170509,AL,43.95,27.98,26.56,1.50,0.00,0.00,2017-05-09,2017-05-15,2
20170502,AL,23.19,44.78,30.53,1.50,0.00,0.00,2017-05-02,2017-05-08,2
20170425,AL,13.28,48.07,35.97,2.67,0.00,0.00,2017-04-25,2017-05-01,2
20170418,AL,6.84,50.45,40.03,2.67,0.00,0.00,2017-04-18,2017-04-24,2
20170411,AL,18.36,59.95,19.02,2.67,0.00,0.00,2017-04-11,2017-04-17,2
20170404,AL,18.36,55.47,21.30,4.87,0.00,0.00,2017-04-04,2017-04-10,2
20170328,AL,9.36,52.96,25.55,12.14,0.00,0.00,2017-03-28,2017-04-03,2
20170321,AL,29.04,29.89,19.19,20.23,1.65,0.00,2017-03-21,2017-03-27,2
20170314,AL,44.44,10.18,21.82,18.80,4.76,0.00,2017-03-14,2017-03-20,2
20170307,AL,36.64,9.73,26.77,21.65,5.21,0.00,2017-03-07,2017-03-13,2
20170228,AL,36.64,9.73,21.67,26.75,5.21,0.00,2017-02-28,2017-03-06,2
20170221,AL,30.39,10.96,23.38,30.06,5.21,0.00,2017-02-21,2017-02-27,2
20170214,AL,32.24,18.21,21.73,27.82,0.00,0.00,2017-02-14,2017-02-20,2
20170207,AL,32.17,19.24,24.71,21.55,2.33,0.00,2017-02-07,2017-02-13,2
