MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20101228,AL,17.47,27.26,25.92,27.52,1.82,0.00,2010-12-28,2011-01-03,2
20101221,AL,29.64,20.21,30.24,18.09,1.82,0.00,2010-12-21,2010-12-27,2
20101214,AL,29.64,20.21,31.40,16.93,1.82,0.00,2010-12-14,2010-12-20,2
20101207,AL,23.04,17.42,40.79,16.93,1.82,0.00,2010-12-07,2010-12-13,2
20101130,AL,7.43,32.50,24.98,28.83,6.26,0.00,2010-11-30,2010-12-06,2
20101123,AL,0.00,35.83,27.91,29.99,6.26,0.00,2010-11-23,2010-11-29,2
20101116,AL,0.00,33.99,32.25,22.15,11.61,0.00,2010-11-16,2010-11-22,2
20101109,AL,0.00,27.52,32.27,25.06,15.14,0.00,2010-11-09,2010-11-15,2
20101102,AL,0.00,22.34,41.92,23.32,12.42,0.00,2010-11-02,2010-11-08,2
20101026,AL,0.00,6.94,48.49,32.56,12.01,0.00,2010-10-26,2010-11-01,2
20101019,AL,0.00,3.26,53.01,31.72,12.01,0.00,2010-10-19,2010-10-25,2
20101012,AL,0.00,4.27,57.06,29.62,9.04,0.00,2010-10-12,2010-10-18,2
20101005,AL,3.66,30.00,40.64,21.30,4.40,0.00,2010-10-05,2010-10-11,2
20100928,AL,3.64,30.02,41.17,20.77,4.40,0.00,2010-09-28,2010-10-04,2
20100921,AL,0.15,33.76,35.66,26.04,4.40,0.00,2010-09-21,2010-09-27,2
20100914,AL,13.92,51.86,22.95,11.27,0.00,0.00,2010-09-14,2010-09-20,2
20100907,AL,42.23,40.19,17.58,0.00,0.00,0.00,2010-09-07,2010-09-13,2
20100831,AL,47.65,34.77,17.59,0.00,0.00,0.00,2010-08-31,2010-09-06,2
20100824,AL,47.65,34.77,17.59,0.00,0.00,0.00,2010-08-24,2010-08-30,2
20100817,AL,34.08,46.71,19.21,0.00,0.00,0.00,2010-08-17,2010-08-23,2
20100810,AL,32.23,41.98,25.79,0.00,0.00,0.00,2010-08-10,2010-08-16,2
20100803,AL,35.81,41.70,22.48,0.00,0.00,0.00,2010-08-03,2010-08-09,2
20100727,AL,40.77,53.72,5.51,0.00,0.00,0.00,2010-07-27,2010-08-02,2
20100720,AL,49.41,50.59,0.00,0.00,0.00,0.00,2010-07-20,2010-07-26,2
20100713,AL,53.35,46.65,0.00,0.00,0.00,0.00,2010-07-13,2010-07-19,2
20100706,AL,55.59,44.41,0.00,0.00,0.00,0.00,2010-07-06,2010-07-12,2
20100629,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-06-29,2010-07-05,2
20100622,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-06-22,2010-06-28,2
20100615,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-06-15,2010-06-21,2
20100608,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-06-08,2010-06-14,2
20100601,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-06-01,2010-06-07,2
20100525,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-05-25,2010-05-31,2
20100518,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-05-18,2010-05-24,2
20100511,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-05-11,2010-05-17,2
20100504,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-05-04,2010-05-10,2
20100427,AL,61.32,38.68,0.00,0.00,0.00,0.00,2010-04-27,2010-05-03,2
20100420,AL,58.74,41.26,0.00,0.00,0.00,0.00,2010-04-20,2010-04-26,2
20100413,AL,71.27,28.73,0.00,0.00,0.00,0.00,2010-04-13,2010-04-19,2
20100406,AL,74.13,25.87,0.00,0.00,0.00,0.00,2010-04-06,2010-04-12,2
20100330,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-03-30,2010-04-05,2
20100323,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-03-23,2010-03-29,2
20100316,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-03-16,2010-03-22,2
20100309,AL,85.95,14.05,0.00,0.00,0.00,0.00,2010-03-09,2010-03-15,2
20100302,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-03-02,2010-03-08,2
20100223,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-02-23,2010-03-01,2
20100216,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-02-16,2010-02-22,2
20100209,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-02-09,2010-02-15,2
20100202,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-02-02,2010-02-08,2
20100126,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-01-26,2010-02-01,2
20100119,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-01-19,2010-01-25,2
20100112,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-01-12,2010-01-18,2
20100105,AL,100.00,0.00,0.00,0.00,0.00,0.00,2010-01-05,2010-01-11,2
20091229,AL,100.00,0.00,0.00,0.00,0.00,0.00,2009-12-29,2010-01-04,2
20101228,FL,0.18,13.78,35.20,30.63,20.21,0.00,2010-12-28,2011-01-03,2
20101221,FL,0.18,16.06,36.50,27.13,20.12,0.00,2010-12-21,2010-12-27,2
20101214,FL,0.18,17.06,42.03,23.12,17.61,0.00,2010-12-14,2010-12-20,2
20101207,FL,0.95,25.49,38.87,20.81,13.88,0.00,2010-12-07,2010-12-13,2
20101130,FL,4.08,26.79,38.91,22.31,7.91,0.00,2010-11-30,2010-12-06,2
20101123,FL,8.48,42.06,23.14,24.35,1.97,0.00,2010-11-23,2010-11-29,2
20101116,FL,9.77,42.44,23.15,22.67,1.97,0.00,2010-11-16,2010-11-22,2
20101109,FL,11.60,39.67,18.59,25.86,4.28,0.00,2010-11-09,2010-11-15,2
20101102,FL,11.60,37.54,21.25,25.32,4.30,0.00,2010-11-02,2010-11-08,2
20101026,FL,21.24,37.03,17.75,20.08,3.91,0.00,2010-10-26,2010-11-01,2
20101019,FL,32.96,34.39,11.82,18.88,1.96,0.00,2010-10-19,2010-10-25,2
20101012,FL,41.52,31.94,17.42,9.12,0.00,0.00,2010-10-12,2010-10-18,2
20101005,FL,55.08,19.55,19.38,5.98,0.00,0.00,2010-10-05,2010-10-11,2
20100928,FL,54.97,27.01,13.80,4.22,0.00,0.00,2010-09-28,2010-10-04,2
20100921,FL,54.97,27.28,13.53,4.22,0.00,0.00,2010-09-21,2010-09-27,2
20100914,FL,68.43,22.57,7.70,1.29,0.00,0.00,2010-09-14,2010-09-20,2
20100907,FL,73.66,22.36,3.98,0.00,0.00,0.00,2010-09-07,2010-09-13,2
20100831,FL,74.55,22.37,3.08,0.00,0.00,0.00,2010-08-31,2010-09-06,2
20100824,FL,74.55,20.99,4.47,0.00,0.00,0.00,2010-08-24,2010-08-30,2
20100817,FL,71.03,23.91,5.06,0.00,0.00,0.00,2010-08-17,2010-08-23,2
20100810,FL,71.11,23.94,4.95,0.00,0.00,0.00,2010-08-10,2010-08-16,2
20100803,FL,88.13,9.83,2.05,0.00,0.00,0.00,2010-08-03,2010-08-09,2
20100727,FL,89.56,10.44,0.00,0.00,0.00,0.00,2010-07-27,2010-08-02,2
20100720,FL,92.52,7.48,0.00,0.00,0.00,0.00,2010-07-20,2010-07-26,2
20100713,FL,95.51,4.49,0.00,0.00,0.00,0.00,2010-07-13,2010-07-19,2
20100706,FL,95.51,4.49,0.00,0.00,0.00,0.00,2010-07-06,2010-07-12,2
20100629,FL,100.00,0.00,0.00,0.00,0.00,0.00,2010-06-29,2010-07-05,2
20100622,FL,100.00,0.00,0.00,0.00,0.00,0.00,2010-06-22,2010-06-28,2
20100615,FL,100.00,0.00,0.00,0.00,0.00,0.00,2010-06-15,2010-06-21,2
20100608,FL,100.00,0.00,0.00,0.00,0.00,0.00,2010-06-08,2010-06-14,2
20100601,FL,100.00,0.00,0.00,0.00,0.00,0.00,2010-06-01,2010-06-07,2
20100525,FL,100.00,0.00,0.00,0.00,0.00,0.00,2010-05-25,2010-05-31,2
20100518,FL,100.00,0.00,0.00,0.00,0.00,0.00,2010-05-18,2010-05-24,2
20100511,FL,100.00,0.00,0.00,0.00,0.00,0.00,2010-05-11,2010-05-17,2
20100504,FL,100.00,0.00,0.00,0.00,0.00,0.00,2010-05-04,2010-05-10,2
20100427,FL,94.58,5.42,0.00,0.00,0.00,0.00,2010-04-27,2010-05-03,2
20100420,FL,94.66,5.34,0.00,0.00,0.00,0.00,2010-04-20,2010-04-26,2
20100413,FL,98.01,1.99,0.00,0.00,0.00,0.00,2010-04-13,2010-04-19,2
20100406,FL,98.03,1.97,0.00,0.00,0.00,0.00,2010-04-06,2010-04-12,2
20100330,FL,100.00,0.00,0.00,0.00,0.00,0.00,2010-03-30,2010-04-05,2
20100323,FL,100.00,0.00,0.00,0.00,0.00,0.00,2010-03-23,2010-03-29,2
20100316,FL,100.00,0.00,0.00,0.00,0.00,0.00,2010-03-16,2010-03-22,2
20100309,FL,100.00,0.00,0.00,0.00,0.00,0.00,2010-03-09,2010-03-15,2
20100302,FL,100.00,0.00,0.00,0.00,0.00,0.00,2010-03-02,2010-03-08,2
20100223,FL,100.00,0.00,0.00,0.00,0.00,0.00,2010-02-23,2010-03-01,2
20100216,FL,100.00,0.00,0.00,0.00,0.00,0.00,2010-02-16,2010-02-22,2
20100209,FL,100.00,0.00,0.00,0.00,0.00,0.00,2010-02-09,2010-02-15,2
20100202,FL,100.00,0.00,0.00,0.00,0.00,0.00,2010-02-02,2010-02-08,2
20100126,FL,100.00,0.00,0.00,0.00,0.00,0.00,2010-01-26,2010-02-01,2
20100119,FL,97.29,2.71,0.00,0.00,0.00,0.00,2010-01-19,2010-01-25,2
20100112,FL,97.29,2.71,0.00,0.00,0.00,0.00,2010-01-12,2010-01-18,2
20100105,FL,97.29,2.71,0.00,0.00,0.00,0.00,2010-01-05,2010-01-11,2
20091229,FL,96.88,3.12,0.00,0.00,0.00,0.00,2009-12-29,2010-01-04,2
20101228,GA,2.42,12.22,45.03,33.85,6.49,0.00,2010-12-28,2011-01-03,2
20101221,GA,2.42,12.22,43.95,33.77,7.65,0.00,2010-12-21,2010-12-27,2
20101214,GA,1.90,12.74,43.95,33.33,8.08,0.00,2010-12-14,2010-12-20,2
20101207,GA,1.90,9.78,49.10,32.91,6.31,0.00,2010-12-07,2010-12-13,2
20101130,GA,0.00,9.89,50.89,39.22,0.00,0.00,2010-11-30,2010-12-06,2
20101123,GA,0.00,13.72,48.27,38.01,0.00,0.00,2010-11-23,2010-11-29,2
20101116,GA,5.15,49.85,25.77,19.23,0.00,0.00,2010-11-16,2010-11-22,2
20101109,GA,5.15,49.23,25.77,19.85,0.00,0.00,2010-11-09,2010-11-15,2
20101102,GA,5.15,53.51,21.50,19.85,0.00,0.00,2010-11-02,2010-11-08,2
20101026,GA,9.64,43.44,34.70,12.22,0.00,0.00,2010-10-26,2010-11-01,2
20101019,GA,9.66,44.80,36.34,9.20,0.00,0.00,2010-10-19,2010-10-25,2
20101012,GA,10.99,51.77,33.20,4.04,0.00,0.00,2010-10-12,2010-10-18,2
20101005,GA,10.99,52.18,32.79,4.04,0.00,0.00,2010-10-05,2010-10-11,2
20100928,GA,4.80,55.96,34.13,5.11,0.00,0.00,2010-09-28,2010-10-04,2
20100921,GA,0.00,59.41,40.59,0.00,0.00,0.00,2010-09-21,2010-09-27,2
20100914,GA,8.01,52.49,39.51,0.00,0.00,0.00,2010-09-14,2010-09-20,2
20100907,GA,53.52,36.46,10.01,0.00,0.00,0.00,2010-09-07,2010-09-13,2
20100831,GA,59.28,30.71,10.01,0.00,0.00,0.00,2010-08-31,2010-09-06,2
20100824,GA,59.28,30.71,10.01,0.00,0.00,0.00,2010-08-24,2010-08-30,2
20100817,GA,32.09,57.81,10.10,0.00,0.00,0.00,2010-08-17,2010-08-23,2
20100810,GA,46.10,43.79,10.10,0.00,0.00,0.00,2010-08-10,2010-08-16,2
20100803,GA,61.55,37.98,0.46,0.00,0.00,0.00,2010-08-03,2010-08-09,2
20100727,GA,58.22,41.63,0.15,0.00,0.00,0.00,2010-07-27,2010-08-02,2
20100720,GA,47.06,52.94,0.00,0.00,0.00,0.00,2010-07-20,2010-07-26,2
20100713,GA,93.55,6.45,0.00,0.00,0.00,0.00,2010-07-13,2010-07-19,2
20100706,GA,97.31,2.69,0.00,0.00,0.00,0.00,2010-07-06,2010-07-12,2
20100629,GA,99.93,0.07,0.00,0.00,0.00,0.00,2010-06-29,2010-07-05,2
20100622,GA,99.84,0.16,0.00,0.00,0.00,0.00,2010-06-22,2010-06-28,2
20100615,GA,99.84,0.16,0.00,0.00,0.00,0.00,2010-06-15,2010-06-21,2
20100608,GA,99.84,0.16,0.00,0.00,0.00,0.00,2010-06-08,2010-06-14,2
20100601,GA,99.84,0.16,0.00,0.00,0.00,0.00,2010-06-01,2010-06-07,2
20100525,GA,99.84,0.16,0.00,0.00,0.00,0.00,2010-05-25,2010-05-31,2
20100518,GA,100.00,0.00,0.00,0.00,0.00,0.00,2010-05-18,2010-05-24,2
20100511,GA,100.00,0.00,0.00,0.00,0.00,0.00,2010-05-11,2010-05-17,2
20100504,GA,100.00,0.00,0.00,0.00,0.00,0.00,2010-05-04,2010-05-10,2
20100427,GA,98.49,1.51,0.00,0.00,0.00,0.00,2010-04-27,2010-05-03,2
20100420,GA,97.21,2.79,0.00,0.00,0.00,0.00,2010-04-20,2010-04-26,2
20100413,GA,98.70,1.30,0.00,0.00,0.00,0.00,2010-04-13,2010-04-19,2
20100406,GA,98.29,1.71,0.00,0.00,0.00,0.00,2010-04-06,2010-04-12,2
