MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20111227,AL,39.32,11.04,21.67,13.50,14.47,0.00,2011-12-27,2012-01-02,2
20111220,AL,36.40,12.25,15.90,20.08,15.37,0.00,2011-12-20,2011-12-26,2
20111213,AL,36.40,12.25,15.90,20.08,15.37,0.00,2011-12-13,2011-12-19,2
20111206,AL,38.76,10.48,16.42,17.46,16.88,0.00,2011-12-06,2011-12-12,2
20111129,AL,32.60,18.02,15.04,17.46,16.88,0.00,2011-11-29,2011-12-05,2
20111122,AL,14.93,25.35,14.52,13.75,31.45,0.00,2011-11-22,2011-11-28,2
20111115,AL,14.93,25.35,14.52,13.75,31.45,0.00,2011-11-15,2011-11-21,2
20111108,AL,15.75,24.58,14.15,13.99,31.54,0.00,2011-11-08,2011-11-14,2
20111101,AL,23.95,21.70,13.90,16.55,23.91,0.00,2011-11-01,2011-11-07,2
20111025,AL,26.19,30.86,7.36,11.69,23.91,0.00,2011-10-25,2011-10-31,2
20111018,AL,39.84,18.69,9.73,13.55,18.18,0.00,2011-10-18,2011-10-24,2
20111011,AL,54.59,6.63,10.03,14.40,14.35,0.00,2011-10-11,2011-10-17,2
20111004,AL,54.67,6.55,10.00,14.40,14.38,0.00,2011-10-04,2011-10-10,2
20110927,AL,52.55,7.76,10.57,14.73,14.38,0.00,2011-09-27,2011-10-03,2
20110920,AL,45.08,10.57,13.75,13.22,17.37,0.00,2011-09-20,2011-09-26,2
20110913,AL,46.26,11.43,11.71,13.22,17.37,0.00,2011-09-13,2011-09-19,2
20110906,AL,46.26,11.43,11.71,13.22,17.37,0.00,2011-09-06,2011-09-12,2
20110830,AL,20.03,18.64,14.60,23.44,23.29,0.00,2011-08-30,2011-09-05,2
20110823,AL,30.55,13.48,19.45,32.02,4.50,0.00,2011-08-23,2011-08-29,2
20110816,AL,36.10,10.62,18.24,30.54,4.50,0.00,2011-08-16,2011-08-22,2
20110809,AL,33.04,10.18,19.06,33.22,4.50,0.00,2011-08-09,2011-08-15,2
20110802,AL,23.41,18.78,20.09,31.94,5.78,0.00,2011-08-02,2011-08-08,2
20110726,AL,32.17,22.32,19.37,16.50,9.65,0.00,2011-07-26,2011-08-01,2
20110719,AL,38.90,14.31,19.49,17.26,10.03,0.00,2011-07-19,2011-07-25,2
20110712,AL,13.70,29.71,16.66,17.70,13.04,9.18,2011-07-12,2011-07-18,2
20110705,AL,10.16,32.68,15.24,18.04,13.42,10.45,2011-07-05,2011-07-11,2
20110628,AL,6.39,36.44,15.24,16.97,13.25,11.70,2011-06-28,2011-07-04,2
20110621,AL,3.96,41.36,12.76,16.97,13.25,11.70,2011-06-21,2011-06-27,2
20110614,AL,1.65,43.46,14.16,19.12,17.88,3.72,2011-06-14,2011-06-20,2
20110607,AL,23.28,21.84,14.16,19.38,20.54,0.79,2011-06-07,2011-06-13,2
20110531,AL,33.25,23.24,9.25,21.11,13.15,0.00,2011-05-31,2011-06-06,2
20110524,AL,33.25,23.96,9.24,20.68,12.87,0.00,2011-05-24,2011-05-30,2
20110517,AL,51.77,9.89,8.89,23.16,6.30,0.00,2011-05-17,2011-05-23,2
20110510,AL,52.58,9.42,9.39,27.22,1.39,0.00,2011-05-10,2011-05-16,2
20110503,AL,52.58,9.41,20.89,15.72,1.39,0.00,2011-05-03,2011-05-09,2
20110426,AL,52.58,9.41,21.16,16.84,0.00,0.00,2011-04-26,2011-05-02,2
20110419,AL,54.02,7.98,21.16,16.84,0.00,0.00,2011-04-19,2011-04-25,2
20110412,AL,52.06,7.13,23.07,17.74,0.00,0.00,2011-04-12,2011-04-18,2
20110405,AL,52.72,5.49,25.72,16.07,0.00,0.00,2011-04-05,2011-04-11,2
20110329,AL,42.07,16.83,17.59,22.00,1.51,0.00,2011-03-29,2011-04-04,2
20110322,AL,16.35,36.47,23.67,21.18,2.33,0.00,2011-03-22,2011-03-28,2
20110315,AL,16.35,36.47,23.67,21.18,2.33,0.00,2011-03-15,2011-03-21,2
20110308,AL,0.00,10.75,62.54,23.40,3.31,0.00,2011-03-08,2011-03-14,2
20110301,AL,0.00,0.00,61.30,35.39,3.31,0.00,2011-03-01,2011-03-07,2
20110222,AL,0.00,12.46,59.29,28.25,0.00,0.00,2011-02-22,2011-02-28,2
20110215,AL,0.00,33.91,43.02,23.07,0.00,0.00,2011-02-15,2011-02-21,2
20110208,AL,17.68,24.49,34.76,23.07,0.00,0.00,2011-02-08,2011-02-14,2
20110201,AL,15.22,26.95,29.06,26.95,1.82,0.00,2011-02-01,2011-02-07,2
20110125,AL,14.54,27.64,29.06,26.95,1.82,0.00,2011-01-25,2011-01-31,2
20110118,AL,14.54,27.64,29.06,26.95,1.82,0.00,2011-01-18,2011-01-24,2
20110111,AL,27.87,18.34,25.02,26.95,1.82,0.00,2011-01-11,2011-01-17,2
20110104,AL,27.87,18.34,25.02,26.94,1.82,0.00,2011-01-04,2011-01-10,2
20101228,AL,17.47,27.26,25.92,27.52,1.82,0.00,2010-12-28,2011-01-03,2
20111227,FL,38.81,33.78,14.57,10.23,2.61,0.00,2011-12-27,2012-01-02,2
20111220,FL,46.66,25.93,10.25,10.83,6.33,0.00,2011-12-20,2011-12-26,2
20111213,FL,53.81,18.99,10.04,10.84,6.33,0.00,2011-12-13,2011-12-19,2
20111206,FL,53.81,15.94,9.65,11.28,9.32,0.00,2011-12-06,2011-12-12,2
20111129,FL,63.01,10.79,7.40,10.17,8.62,0.00,2011-11-29,2011-12-05,2
20111122,FL,63.01,10.79,6.22,11.26,8.71,0.00,2011-11-22,2011-11-28,2
20111115,FL,63.01,10.79,6.22,11.26,8.71,0.00,2011-11-15,2011-11-21,2
20111108,FL,62.98,10.87,6.28,11.76,8.12,0.00,2011-11-08,2011-11-14,2
20111101,FL,62.98,10.87,7.80,10.38,7.98,0.00,2011-11-01,2011-11-07,2
20111025,FL,63.01,12.38,9.55,7.08,7.98,0.00,2011-10-25,2011-10-31,2
20111018,FL,58.53,15.64,7.95,7.93,9.95,0.00,2011-10-18,2011-10-24,2
20111011,FL,50.46,23.98,7.13,9.13,9.30,0.00,2011-10-11,2011-10-17,2
20111004,FL,43.22,27.48,10.13,9.68,9.49,0.00,2011-10-04,2011-10-10,2
20110927,FL,43.12,28.05,11.98,9.00,7.85,0.00,2011-09-27,2011-10-03,2
20110920,FL,46.08,25.09,11.98,9.00,7.85,0.00,2011-09-20,2011-09-26,2
20110913,FL,46.18,25.01,11.96,8.90,7.95,0.00,2011-09-13,2011-09-19,2
20110906,FL,37.55,24.08,22.68,7.75,7.95,0.00,2011-09-06,2011-09-12,2
