MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20141230,AL,62.49,33.74,3.77,0.00,0.00,0.00,2014-12-30,2015-01-05,2
20141223,AL,28.08,37.06,30.97,3.89,0.00,0.00,2014-12-23,2014-12-29,2
20141216,AL,28.09,37.05,30.97,3.89,0.00,0.00,2014-12-16,2014-12-22,2
20141209,AL,33.71,45.20,18.45,2.64,0.00,0.00,2014-12-09,2014-12-15,2
20141202,AL,36.15,49.09,11.38,3.39,0.00,0.00,2014-12-02,2014-12-08,2
20141125,AL,36.15,51.25,11.02,1.58,0.00,0.00,2014-11-25,2014-12-01,2
20141118,AL,35.41,51.74,11.26,1.58,0.00,0.00,2014-11-18,2014-11-24,2
20141111,AL,29.49,43.43,25.31,1.77,0.00,0.00,2014-11-11,2014-11-17,2
20141104,AL,32.61,41.45,24.69,1.25,0.00,0.00,2014-11-04,2014-11-10,2
20141028,AL,39.41,43.36,15.98,1.25,0.00,0.00,2014-10-28,2014-11-03,2
20141021,AL,44.24,38.52,15.98,1.25,0.00,0.00,2014-10-21,2014-10-27,2
20141014,AL,44.24,38.52,15.98,1.25,0.00,0.00,2014-10-14,2014-10-20,2
20141007,AL,24.74,48.26,25.74,1.25,0.00,0.00,2014-10-07,2014-10-13,2
20140930,AL,17.21,55.80,25.74,1.25,0.00,0.00,2014-09-30,2014-10-06,2
20140923,AL,37.03,51.34,11.63,0.00,0.00,0.00,2014-09-23,2014-09-29,2
20140916,AL,37.03,52.77,10.18,0.01,0.00,0.00,2014-09-16,2014-09-22,2
20140909,AL,36.26,53.55,10.18,0.01,0.00,0.00,2014-09-09,2014-09-15,2
20140902,AL,34.99,54.82,10.18,0.01,0.00,0.00,2014-09-02,2014-09-08,2
20140826,AL,36.66,53.16,10.18,0.00,0.00,0.00,2014-08-26,2014-09-01,2
20140819,AL,54.84,41.04,4.13,0.00,0.00,0.00,2014-08-19,2014-08-25,2
20140812,AL,59.18,36.77,4.04,0.00,0.00,0.00,2014-08-12,2014-08-18,2
20140805,AL,62.66,35.68,1.66,0.00,0.00,0.00,2014-08-05,2014-08-11,2
20140729,AL,67.19,31.86,0.95,0.00,0.00,0.00,2014-07-29,2014-08-04,2
20140722,AL,81.05,18.95,0.00,0.00,0.00,0.00,2014-07-22,2014-07-28,2
20140715,AL,78.54,21.46,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21,2
20140708,AL,91.92,8.08,0.00,0.00,0.00,0.00,2014-07-08,2014-07-14,2
20140701,AL,99.27,0.73,0.00,0.00,0.00,0.00,2014-07-01,2014-07-07,2
20140624,AL,95.03,4.97,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30,2
20140617,AL,95.02,4.98,0.00,0.00,0.00,0.00,2014-06-17,2014-06-23,2
20140610,AL,95.02,4.98,0.00,0.00,0.00,0.00,2014-06-10,2014-06-16,2
20140603,AL,87.14,12.21,0.65,0.00,0.00,0.00,2014-06-03,2014-06-09,2
20140527,AL,91.80,7.66,0.54,0.00,0.00,0.00,2014-05-27,2014-06-02,2
20140520,AL,92.99,6.47,0.54,0.00,0.00,0.00,2014-05-20,2014-05-26,2
20140513,AL,91.14,6.74,2.12,0.00,0.00,0.00,2014-05-13,2014-05-19,2
20140506,AL,94.68,5.32,0.00,0.00,0.00,0.00,2014-05-06,2014-05-12,2
20140429,AL,97.11,2.89,0.00,0.00,0.00,0.00,2014-04-29,2014-05-05,2
20140422,AL,94.90,3.79,1.31,0.00,0.00,0.00,2014-04-22,2014-04-28,2
20140415,AL,96.02,2.66,1.32,0.00,0.00,0.00,2014-04-15,2014-04-21,2
20140408,AL,96.18,2.50,1.32,0.00,0.00,0.00,2014-04-08,2014-04-14,2
20140401,AL,75.45,21.18,3.37,0.00,0.00,0.00,2014-04-01,2014-04-07,2
20140325,AL,78.22,18.41,3.37,0.00,0.00,0.00,2014-03-25,2014-03-31,2
20140318,AL,81.52,18.48,0.00,0.00,0.00,0.00,2014-03-18,2014-03-24,2
20140311,AL,81.52,18.48,0.00,0.00,0.00,0.00,2014-03-11,2014-03-17,2
20140304,AL,91.36,8.64,0.00,0.00,0.00,0.00,2014-03-04,2014-03-10,2
20140225,AL,90.20,9.80,0.00,0.00,0.00,0.00,2014-02-25,2014-03-03,2
20140218,AL,88.98,11.02,0.00,0.00,0.00,0.00,2014-02-18,2014-02-24,2
20140211,AL,85.40,14.60,0.00,0.00,0.00,0.00,2014-02-11,2014-02-17,2
20140204,AL,65.11,34.89,0.00,0.00,0.00,0.00,2014-02-04,2014-02-10,2
20140128,AL,56.49,43.51,0.00,0.00,0.00,0.00,2014-01-28,2014-02-03,2
20140121,AL,100.00,0.00,0.00,0.00,0.00,0.00,2014-01-21,2014-01-27,2
20140114,AL,100.00,0.00,0.00,0.00,0.00,0.00,2014-01-14,2014-01-20,2
20140107,AL,94.61,5.39,0.00,0.00,0.00,0.00,2014-01-07,2014-01-13,2
20131231,AL,97.35,2.65,0.00,0.00,0.00,0.00,2013-12-31,2014-01-06,2
20141230,FL,94.33,4.68,0.99,0.00,0.00,0.00,2014-12-30,2015-01-05,2
20141223,FL,88.51,6.72,3.41,1.35,0.00,0.00,2014-12-23,2014-12-29,2
20141216,FL,88.42,6.81,3.41,1.35,0.00,0.00,2014-12-16,2014-12-22,2
20141209,FL,89.61,8.11,2.22,0.06,0.00,0.00,2014-12-09,2014-12-15,2
20141202,FL,89.61,8.11,2.22,0.06,0.00,0.00,2014-12-02,2014-12-08,2
20141125,FL,89.61,8.13,2.26,0.00,0.00,0.00,2014-11-25,2014-12-01,2
20141118,FL,83.05,10.32,6.62,0.00,0.00,0.00,2014-11-18,2014-11-24,2
20141111,FL,83.22,10.06,6.72,0.00,0.00,0.00,2014-11-11,2014-11-17,2
20141104,FL,83.35,10.12,6.53,0.00,0.00,0.00,2014-11-04,2014-11-10,2
20141028,FL,85.50,10.04,4.46,0.00,0.00,0.00,2014-10-28,2014-11-03,2
20141021,FL,88.93,6.61,4.46,0.00,0.00,0.00,2014-10-21,2014-10-27,2
20141014,FL,88.93,6.61,4.46,0.00,0.00,0.00,2014-10-14,2014-10-20,2
20141007,FL,78.73,14.76,6.51,0.00,0.00,0.00,2014-10-07,2014-10-13,2
20140930,FL,77.22,16.17,6.61,0.00,0.00,0.00,2014-09-30,2014-10-06,2
20140923,FL,71.44,21.95,6.61,0.00,0.00,0.00,2014-09-23,2014-09-29,2
20140916,FL,70.90,23.59,5.52,0.00,0.00,0.00,2014-09-16,2014-09-22,2
20140909,FL,74.50,19.98,5.52,0.00,0.00,0.00,2014-09-09,2014-09-15,2
20140902,FL,69.21,25.27,5.52,0.00,0.00,0.00,2014-09-02,2014-09-08,2
20140826,FL,78.57,18.55,2.88,0.00,0.00,0.00,2014-08-26,2014-09-01,2
20140819,FL,78.79,18.41,2.80,0.00,0.00,0.00,2014-08-19,2014-08-25,2
20140812,FL,81.86,15.34,2.80,0.00,0.00,0.00,2014-08-12,2014-08-18,2
20140805,FL,81.98,17.14,0.88,0.00,0.00,0.00,2014-08-05,2014-08-11,2
20140729,FL,81.98,18.02,0.00,0.00,0.00,0.00,2014-07-29,2014-08-04,2
20140722,FL,96.99,3.01,0.00,0.00,0.00,0.00,2014-07-22,2014-07-28,2
20140715,FL,96.56,3.44,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21,2
20140708,FL,99.98,0.02,0.00,0.00,0.00,0.00,2014-07-08,2014-07-14,2
20140701,FL,100.00,0.00,0.00,0.00,0.00,0.00,2014-07-01,2014-07-07,2
20140624,FL,100.00,0.00,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30,2
20140617,FL,92.13,7.87,0.00,0.00,0.00,0.00,2014-06-17,2014-06-23,2
20140610,FL,87.38,8.62,3.99,0.00,0.00,0.00,2014-06-10,2014-06-16,2
20140603,FL,87.38,8.62,3.99,0.00,0.00,0.00,2014-06-03,2014-06-09,2
20140527,FL,87.38,8.64,3.98,0.00,0.00,0.00,2014-05-27,2014-06-02,2
20140520,FL,89.90,10.10,0.00,0.00,0.00,0.00,2014-05-20,2014-05-26,2
20140513,FL,89.90,10.10,0.00,0.00,0.00,0.00,2014-05-13,2014-05-19,2
20140506,FL,100.00,0.00,0.00,0.00,0.00,0.00,2014-05-06,2014-05-12,2
20140429,FL,100.00,0.00,0.00,0.00,0.00,0.00,2014-04-29,2014-05-05,2
20140422,FL,100.00,0.00,0.00,0.00,0.00,0.00,2014-04-22,2014-04-28,2
20140415,FL,100.00,0.00,0.00,0.00,0.00,0.00,2014-04-15,2014-04-21,2
20140408,FL,100.00,0.00,0.00,0.00,0.00,0.00,2014-04-08,2014-04-14,2
20140401,FL,98.23,1.77,0.00,0.00,0.00,0.00,2014-04-01,2014-04-07,2
