MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20061226,AL,51.87,48.13,0.00,0.00,0.00,0.00,2006-12-26,2007-01-01,2
20061219,AL,47.95,52.05,0.00,0.00,0.00,0.00,2006-12-19,2006-12-25,2
20061212,AL,84.37,15.63,0.00,0.00,0.00,0.00,2006-12-12,2006-12-18,2
20061205,AL,86.59,13.41,0.00,0.00,0.00,0.00,2006-12-05,2006-12-11,2
20061128,AL,94.10,5.90,0.00,0.00,0.00,0.00,2006-11-28,2006-12-04,2
20061121,AL,92.64,7.36,0.00,0.00,0.00,0.00,2006-11-21,2006-11-27,2
20061114,AL,48.24,51.76,0.00,0.00,0.00,0.00,2006-11-14,2006-11-20,2
20061107,AL,48.24,51.76,0.00,0.00,0.00,0.00,2006-11-07,2006-11-13,2
20061031,AL,25.89,56.62,17.49,0.00,0.00,0.00,2006-10-31,2006-11-06,2
20061024,AL,15.38,50.42,34.20,0.00,0.00,0.00,2006-10-24,2006-10-30,2
20061017,AL,0.00,42.05,57.95,0.00,0.00,0.00,2006-10-17,2006-10-23,2
20061010,AL,0.00,26.72,73.28,0.00,0.00,0.00,2006-10-10,2006-10-16,2
20061003,AL,0.00,26.72,73.28,0.00,0.00,0.00,2006-10-03,2006-10-09,2
20060926,AL,0.00,25.85,74.15,0.00,0.00,0.00,2006-09-26,2006-10-02,2
20060919,AL,0.00,5.07,94.93,0.00,0.00,0.00,2006-09-19,2006-09-25,2
20060912,AL,0.00,0.04,10.13,83.94,5.89,0.00,2006-09-12,2006-09-18,2
20060905,AL,0.00,0.00,10.13,83.99,5.89,0.00,2006-09-05,2006-09-11,2
20060829,AL,0.00,0.00,10.13,83.99,5.89,0.00,2006-08-29,2006-09-04,2
20060822,AL,0.00,0.00,7.15,73.15,19.70,0.00,2006-08-22,2006-08-28,2
20060815,AL,0.00,0.00,7.70,72.61,19.70,0.00,2006-08-15,2006-08-21,2
20060808,AL,0.00,0.00,7.08,57.36,35.56,0.00,2006-08-08,2006-08-14,2
20060801,AL,0.00,0.00,28.36,38.08,33.56,0.00,2006-08-01,2006-08-07,2
20060725,AL,0.00,0.39,28.76,37.29,33.56,0.00,2006-07-25,2006-07-31,2
20060718,AL,0.00,4.64,24.58,37.21,33.56,0.00,2006-07-18,2006-07-24,2
20060711,AL,2.06,11.81,55.88,21.29,8.97,0.00,2006-07-11,2006-07-17,2
20060704,AL,2.14,10.41,70.31,16.38,0.76,0.00,2006-07-04,2006-07-10,2
20060627,AL,31.27,22.22,39.88,5.87,0.76,0.00,2006-06-27,2006-07-03,2
20060620,AL,35.60,27.30,30.48,5.87,0.76,0.00,2006-06-20,2006-06-26,2
20060613,AL,35.60,27.50,30.27,5.87,0.76,0.00,2006-06-13,2006-06-19,2
