MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20071225,AL,7.30,8.37,13.81,10.29,11.06,49.18,2007-12-25,2007-12-31,2
20071218,AL,6.01,8.14,13.84,11.19,11.63,49.18,2007-12-18,2007-12-24,2
20071211,AL,6.01,8.03,13.96,11.19,11.63,49.18,2007-12-11,2007-12-17,2
20071204,AL,6.01,8.03,14.15,11.32,11.60,48.89,2007-12-04,2007-12-10,2
20071127,AL,6.01,8.55,14.37,10.58,11.60,48.89,2007-11-27,2007-12-03,2
20071120,AL,1.31,10.49,12.02,12.59,13.76,49.83,2007-11-20,2007-11-26,2
20071113,AL,1.31,10.49,12.02,18.24,11.92,46.02,2007-11-13,2007-11-19,2
20071106,AL,3.37,14.94,16.21,10.20,12.35,42.93,2007-11-06,2007-11-12,2
20071030,AL,3.52,14.79,18.48,8.73,18.00,36.47,2007-10-30,2007-11-05,2
20071023,AL,3.88,5.79,11.14,6.15,9.36,63.68,2007-10-23,2007-10-29,2
20071016,AL,0.00,0.03,6.74,10.12,10.08,73.04,2007-10-16,2007-10-22,2
20071009,AL,0.00,0.03,8.96,12.83,19.36,58.82,2007-10-09,2007-10-15,2
20071002,AL,0.00,4.60,11.66,7.65,24.12,51.97,2007-10-02,2007-10-08,2
20070925,AL,1.40,8.42,8.25,10.81,22.39,48.72,2007-09-25,2007-10-01,2
20070918,AL,1.40,8.42,8.25,10.81,22.00,49.11,2007-09-18,2007-09-24,2
20070911,AL,1.24,6.82,7.73,12.00,10.94,61.27,2007-09-11,2007-09-17,2
20070904,AL,1.24,6.82,7.73,12.34,10.60,61.27,2007-09-04,2007-09-10,2
20070828,AL,0.00,5.46,3.00,4.33,13.82,73.39,2007-08-28,2007-09-03,2
20070821,AL,0.00,4.05,4.22,4.28,13.09,74.37,2007-08-21,2007-08-27,2
20070814,AL,0.00,3.96,4.31,6.26,12.35,73.12,2007-08-14,2007-08-20,2
20070807,AL,0.00,5.66,3.93,12.91,25.66,51.84,2007-08-07,2007-08-13,2
20070731,AL,0.00,5.66,11.60,19.98,30.22,32.54,2007-07-31,2007-08-06,2
20070724,AL,0.00,9.72,18.73,29.99,23.82,17.74,2007-07-24,2007-07-30,2
20070717,AL,0.00,9.72,18.73,29.99,17.23,24.33,2007-07-17,2007-07-23,2
20070710,AL,0.00,9.66,19.25,27.55,18.92,24.62,2007-07-10,2007-07-16,2
20070703,AL,0.00,0.01,13.54,15.99,28.61,41.86,2007-07-03,2007-07-09,2
20070626,AL,0.00,0.01,11.48,15.70,29.08,43.74,2007-06-26,2007-07-02,2
20070619,AL,0.00,0.00,6.00,4.01,47.31,42.69,2007-06-19,2007-06-25,2
20070612,AL,0.00,0.00,0.50,36.72,24.85,37.94,2007-06-12,2007-06-18,2
20070605,AL,0.00,0.00,23.59,13.73,40.80,21.88,2007-06-05,2007-06-11,2
20070529,AL,0.00,0.00,30.87,9.03,60.10,0.00,2007-05-29,2007-06-04,2
20070522,AL,0.00,0.00,30.87,10.39,58.74,0.00,2007-05-22,2007-05-28,2
20070515,AL,0.00,15.30,19.84,13.84,51.02,0.00,2007-05-15,2007-05-21,2
20070508,AL,0.00,18.40,16.74,13.97,50.89,0.00,2007-05-08,2007-05-14,2
20070501,AL,9.82,8.58,24.38,19.65,37.57,0.00,2007-05-01,2007-05-07,2
20070424,AL,9.82,8.58,31.22,34.19,16.19,0.00,2007-04-24,2007-04-30,2
20070417,AL,12.55,12.64,33.88,30.75,10.19,0.00,2007-04-17,2007-04-23,2
20070410,AL,0.00,19.14,42.21,29.34,9.30,0.00,2007-04-10,2007-04-16,2
20070403,AL,0.00,18.53,31.00,41.17,9.30,0.00,2007-04-03,2007-04-09,2
20070327,AL,0.00,22.18,34.48,39.57,3.78,0.00,2007-03-27,2007-04-02,2
20070320,AL,0.00,37.34,55.71,6.95,0.00,0.00,2007-03-20,2007-03-26,2
20070313,AL,5.77,33.50,53.77,6.95,0.00,0.00,2007-03-13,2007-03-19,2
20070306,AL,37.59,58.63,3.78,0.00,0.00,0.00,2007-03-06,2007-03-12,2
20070227,AL,37.62,58.69,3.68,0.00,0.00,0.00,2007-02-27,2007-03-05,2
20070220,AL,45.90,50.41,3.68,0.00,0.00,0.00,2007-02-20,2007-02-26,2
20070213,AL,46.66,50.66,2.68,0.00,0.00,0.00,2007-02-13,2007-02-19,2
20070206,AL,90.49,9.51,0.00,0.00,0.00,0.00,2007-02-06,2007-02-12,2
20070130,AL,95.86,4.14,0.00,0.00,0.00,0.00,2007-01-30,2007-02-05,2
20070123,AL,95.86,4.14,0.00,0.00,0.00,0.00,2007-01-23,2007-01-29,2
20070116,AL,56.02,43.98,0.00,0.00,0.00,0.00,2007-01-16,2007-01-22,2
20070109,AL,67.84,32.16,0.00,0.00,0.00,0.00,2007-01-09,2007-01-15,2
20070102,AL,51.87,48.13,0.00,0.00,0.00,0.00,2007-01-02,2007-01-08,2
20061226,AL,51.87,48.13,0.00,0.00,0.00,0.00,2006-12-26,2007-01-01,2
20071225,FL,30.93,35.81,13.55,17.06,2.65,0.00,2007-12-25,2007-12-31,2
20071218,FL,34.66,32.08,13.50,17.11,2.65,0.00,2007-12-18,2007-12-24,2
20071211,FL,34.66,32.02,13.56,17.11,2.65,0.00,2007-12-11,2007-12-17,2
20071204,FL,48.02,23.54,17.42,11.02,0.00,0.00,2007-12-04,2007-12-10,2
20071127,FL,49.83,23.23,15.91,11.02,0.00,0.00,2007-11-27,2007-12-03,2
20071120,FL,44.82,29.70,20.86,4.62,0.00,0.00,2007-11-20,2007-11-26,2
20071113,FL,44.82,37.77,12.79,4.62,0.00,0.00,2007-11-13,2007-11-19,2
20071106,FL,45.33,37.26,12.79,4.62,0.00,0.00,2007-11-06,2007-11-12,2
20071030,FL,45.33,37.26,12.79,4.62,0.00,0.00,2007-10-30,2007-11-05,2
20071023,FL,45.86,36.73,12.79,4.62,0.00,0.00,2007-10-23,2007-10-29,2
20071016,FL,32.55,23.22,19.30,15.79,9.14,0.00,2007-10-16,2007-10-22,2
20071009,FL,33.13,22.64,19.52,15.58,9.14,0.00,2007-10-09,2007-10-15,2
20071002,FL,20.77,35.01,22.24,12.87,9.12,0.00,2007-10-02,2007-10-08,2
20070925,FL,20.77,36.17,21.66,12.28,9.12,0.00,2007-09-25,2007-10-01,2
20070918,FL,13.61,34.67,30.54,11.94,9.24,0.00,2007-09-18,2007-09-24,2
20070911,FL,9.51,32.87,36.41,12.73,8.48,0.00,2007-09-11,2007-09-17,2
20070904,FL,11.51,38.24,35.03,12.00,3.23,0.00,2007-09-04,2007-09-10,2
20070828,FL,13.11,22.75,34.91,15.11,14.12,0.00,2007-08-28,2007-09-03,2
20070821,FL,12.22,24.12,34.36,14.50,13.98,0.80,2007-08-21,2007-08-27,2
20070814,FL,12.22,15.61,44.57,17.44,9.35,0.80,2007-08-14,2007-08-20,2
20070807,FL,12.22,15.61,44.72,17.58,9.59,0.27,2007-08-07,2007-08-13,2
