MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20051227,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-12-27,2006-01-02,2
20051220,AL,99.38,0.62,0.00,0.00,0.00,0.00,2005-12-20,2005-12-26,2
20051213,AL,99.32,0.68,0.00,0.00,0.00,0.00,2005-12-13,2005-12-19,2
20051206,AL,99.32,0.68,0.00,0.00,0.00,0.00,2005-12-06,2005-12-12,2
20051129,AL,81.38,18.62,0.00,0.00,0.00,0.00,2005-11-29,2005-12-05,2
20051122,AL,43.94,56.06,0.00,0.00,0.00,0.00,2005-11-22,2005-11-28,2
20051115,AL,16.94,81.92,1.14,0.00,0.00,0.00,2005-11-15,2005-11-21,2
20051108,AL,43.59,46.80,9.60,0.00,0.00,0.00,2005-11-08,2005-11-14,2
20051101,AL,42.73,57.27,0.00,0.00,0.00,0.00,2005-11-01,2005-11-07,2
20051025,AL,79.25,20.75,0.00,0.00,0.00,0.00,2005-10-25,2005-10-31,2
20051018,AL,99.85,0.15,0.00,0.00,0.00,0.00,2005-10-18,2005-10-24,2
20051011,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-10-11,2005-10-17,2
20051004,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-10-04,2005-10-10,2
20050927,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-09-27,2005-10-03,2
20050920,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-09-20,2005-09-26,2
20050913,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-09-13,2005-09-19,2
20050906,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-09-06,2005-09-12,2
20050830,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-08-30,2005-09-05,2
20050823,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-08-23,2005-08-29,2
20050816,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-08-16,2005-08-22,2
20050809,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-08-09,2005-08-15,2
20050802,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-08-02,2005-08-08,2
20050726,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-07-26,2005-08-01,2
20050719,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-07-19,2005-07-25,2
20050712,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-07-12,2005-07-18,2
20050705,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-07-05,2005-07-11,2
20050628,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-06-28,2005-07-04,2
20050621,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-06-21,2005-06-27,2
20050614,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-06-14,2005-06-20,2
20050607,AL,98.07,1.93,0.00,0.00,0.00,0.00,2005-06-07,2005-06-13,2
20050531,AL,88.93,9.75,1.32,0.00,0.00,0.00,2005-05-31,2005-06-06,2
20050524,AL,92.05,7.95,0.00,0.00,0.00,0.00,2005-05-24,2005-05-30,2
20050517,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-05-17,2005-05-23,2
20050510,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-05-10,2005-05-16,2
20050503,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-05-03,2005-05-09,2
20050426,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-04-26,2005-05-02,2
20050419,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-04-19,2005-04-25,2
20050412,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-04-12,2005-04-18,2
20050405,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-04-05,2005-04-11,2
20050329,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-03-29,2005-04-04,2
20050322,AL,84.05,15.95,0.00,0.00,0.00,0.00,2005-03-22,2005-03-28,2
20050315,AL,83.76,16.24,0.00,0.00,0.00,0.00,2005-03-15,2005-03-21,2
20050308,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-03-08,2005-03-14,2
20050301,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-03-01,2005-03-07,2
20050222,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-02-22,2005-02-28,2
20050215,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-02-15,2005-02-21,2
20050208,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-02-08,2005-02-14,2
20050201,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-02-01,2005-02-07,2
20050125,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-01-25,2005-01-31,2
20050118,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-01-18,2005-01-24,2
20050111,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-01-11,2005-01-17,2
20050104,AL,100.00,0.00,0.00,0.00,0.00,0.00,2005-01-04,2005-01-10,2
20041228,AL,100.00,0.00,0.00,0.00,0.00,0.00,2004-12-28,2005-01-03,2
20051227,FL,100.00,0.00,0.00,0.00,0.00,0.00,2005-12-27,2006-01-02,2
20051220,FL,100.00,0.00,0.00,0.00,0.00,0.00,2005-12-20,2005-12-26,2
20051213,FL,100.00,0.00,0.00,0.00,0.00,0.00,2005-12-13,2005-12-19,2
20051206,FL,92.27,7.73,0.00,0.00,0.00,0.00,2005-12-06,2005-12-12,2
20051129,FL,92.27,7.73,0.00,0.00,0.00,0.00,2005-11-29,2005-12-05,2
20051122,FL,77.95,22.05,0.00,0.00,0.00,0.00,2005-11-22,2005-11-28,2
20051115,FL,65.94,34.06,0.00,0.00,0.00,0.00,2005-11-15,2005-11-21,2
20051108,FL,72.44,27.56,0.00,0.00,0.00,0.00,2005-11-08,2005-11-14,2
20051101,FL,72.64,27.36,0.00,0.00,0.00,0.00,2005-11-01,2005-11-07,2
20051025,FL,85.51,14.49,0.00,0.00,0.00,0.00,2005-10-25,2005-10-31,2
20051018,FL,79.81,20.19,0.00,0.00,0.00,0.00,2005-10-18,2005-10-24,2
20051011,FL,82.15,17.85,0.00,0.00,0.00,0.00,2005-10-11,2005-10-17,2
20051004,FL,82.15,17.85,0.00,0.00,0.00,0.00,2005-10-04,2005-10-10,2
20050927,FL,81.51,18.49,0.00,0.00,0.00,0.00,2005-09-27,2005-10-03,2
20050920,FL,89.66,10.34,0.00,0.00,0.00,0.00,2005-09-20,2005-09-26,2
20050913,FL,100.00,0.00,0.00,0.00,0.00,0.00,2005-09-13,2005-09-19,2
20050906,FL,100.00,0.00,0.00,0.00,0.00,0.00,2005-09-06,2005-09-12,2
