MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20131231,AL,97.35,2.65,0.00,0.00,0.00,0.00,2013-12-31,2014-01-06,2
20131224,AL,89.25,8.09,2.66,0.00,0.00,0.00,2013-12-24,2013-12-30,2
20131217,AL,67.26,26.23,6.52,0.00,0.00,0.00,2013-12-17,2013-12-23,2
20131210,AL,85.83,12.85,1.32,0.00,0.00,0.00,2013-12-10,2013-12-16,2
20131203,AL,73.95,24.73,1.32,0.00,0.00,0.00,2013-12-03,2013-12-09,2
20131126,AL,77.20,22.17,0.63,0.00,0.00,0.00,2013-11-26,2013-12-02,2
20131119,AL,54.14,40.82,5.05,0.00,0.00,0.00,2013-11-19,2013-11-25,2
20131112,AL,54.32,40.63,5.05,0.00,0.00,0.00,2013-11-12,2013-11-18,2
20131105,AL,57.89,42.11,0.00,0.00,0.00,0.00,2013-11-05,2013-11-11,2
20131029,AL,76.43,23.57,0.00,0.00,0.00,0.00,2013-10-29,2013-11-04,2
20131022,AL,92.98,7.02,0.00,0.00,0.00,0.00,2013-10-22,2013-10-28,2
20131015,AL,100.00,0.00,0.00,0.00,0.00,0.00,2013-10-15,2013-10-21,2
20131008,AL,100.00,0.00,0.00,0.00,0.00,0.00,2013-10-08,2013-10-14,2
20131001,AL,96.85,3.15,0.00,0.00,0.00,0.00,2013-10-01,2013-10-07,2
20130924,AL,92.90,7.10,0.00,0.00,0.00,0.00,2013-09-24,2013-09-30,2
20130917,AL,90.20,9.80,0.00,0.00,0.00,0.00,2013-09-17,2013-09-23,2
20130910,AL,98.12,1.88,0.00,0.00,0.00,0.00,2013-09-10,2013-09-16,2
20130903,AL,100.00,0.00,0.00,0.00,0.00,0.00,2013-09-03,2013-09-09,2
20130827,AL,100.00,0.00,0.00,0.00,0.00,0.00,2013-08-27,2013-09-02,2
20130820,AL,100.00,0.00,0.00,0.00,0.00,0.00,2013-08-20,2013-08-26,2
20130813,AL,100.00,0.00,0.00,0.00,0.00,0.00,2013-08-13,2013-08-19,2
20130806,AL,100.00,0.00,0.00,0.00,0.00,0.00,2013-08-06,2013-08-12,2
20130730,AL,100.00,0.00,0.00,0.00,0.00,0.00,2013-07-30,2013-08-05,2
20130723,AL,100.00,0.00,0.00,0.00,0.00,0.00,2013-07-23,2013-07-29,2
20130716,AL,100.00,0.00,0.00,0.00,0.00,0.00,2013-07-16,2013-07-22,2
20130709,AL,93.04,6.96,0.00,0.00,0.00,0.00,2013-07-09,2013-07-15,2
20130702,AL,82.34,17.66,0.00,0.00,0.00,0.00,2013-07-02,2013-07-08,2
20130625,AL,77.70,22.30,0.00,0.00,0.00,0.00,2013-06-25,2013-07-01,2
20130618,AL,73.53,26.47,0.00,0.00,0.00,0.00,2013-06-18,2013-06-24,2
20130611,AL,73.53,26.47,0.00,0.00,0.00,0.00,2013-06-11,2013-06-17,2
20130604,AL,68.64,26.61,4.74,0.00,0.00,0.00,2013-06-04,2013-06-10,2
20130528,AL,86.96,9.87,3.18,0.00,0.00,0.00,2013-05-28,2013-06-03,2
20130521,AL,94.56,5.44,0.00,0.00,0.00,0.00,2013-05-21,2013-05-27,2
20130514,AL,100.00,0.00,0.00,0.00,0.00,0.00,2013-05-14,2013-05-20,2
20130507,AL,100.00,0.00,0.00,0.00,0.00,0.00,2013-05-07,2013-05-13,2
20130430,AL,95.96,4.04,0.00,0.00,0.00,0.00,2013-04-30,2013-05-06,2
20130423,AL,95.96,4.04,0.00,0.00,0.00,0.00,2013-04-23,2013-04-29,2
20130416,AL,95.49,4.51,0.00,0.00,0.00,0.00,2013-04-16,2013-04-22,2
20130409,AL,91.01,8.99,0.00,0.00,0.00,0.00,2013-04-09,2013-04-15,2
20130402,AL,94.22,5.78,0.00,0.00,0.00,0.00,2013-04-02,2013-04-08,2
20130326,AL,94.59,5.41,0.00,0.00,0.00,0.00,2013-03-26,2013-04-01,2
20130319,AL,89.70,10.30,0.00,0.00,0.00,0.00,2013-03-19,2013-03-25,2
20130312,AL,93.63,6.37,0.00,0.00,0.00,0.00,2013-03-12,2013-03-18,2
20130305,AL,90.06,9.06,0.89,0.00,0.00,0.00,2013-03-05,2013-03-11,2
20130226,AL,88.56,9.81,1.63,0.00,0.00,0.00,2013-02-26,2013-03-04,2
20130219,AL,65.28,16.38,15.85,2.49,0.00,0.00,2013-02-19,2013-02-25,2
20130212,AL,64.84,16.63,14.61,3.92,0.00,0.00,2013-02-12,2013-02-18,2
20130205,AL,47.93,20.24,11.54,16.30,4.00,0.00,2013-02-05,2013-02-11,2
20130129,AL,43.32,23.33,11.41,13.91,8.03,0.00,2013-01-29,2013-02-04,2
20130122,AL,43.32,26.07,13.70,9.93,6.99,0.00,2013-01-22,2013-01-28,2
20130115,AL,43.23,24.19,14.63,9.71,8.23,0.00,2013-01-15,2013-01-21,2
20130108,AL,39.94,26.40,14.25,9.61,9.81,0.00,2013-01-08,2013-01-14,2
20130101,AL,40.07,26.26,14.20,9.66,9.81,0.00,2013-01-01,2013-01-07,2
20131231,FL,75.83,24.17,0.00,0.00,0.00,0.00,2013-12-31,2014-01-06,2
20131224,FL,72.82,27.18,0.00,0.00,0.00,0.00,2013-12-24,2013-12-30,2
20131217,FL,72.45,27.55,0.00,0.00,0.00,0.00,2013-12-17,2013-12-23,2
20131210,FL,74.29,25.71,0.00,0.00,0.00,0.00,2013-12-10,2013-12-16,2
20131203,FL,77.26,22.74,0.00,0.00,0.00,0.00,2013-12-03,2013-12-09,2
20131126,FL,77.26,22.74,0.00,0.00,0.00,0.00,2013-11-26,2013-12-02,2
20131119,FL,67.00,33.00,0.00,0.00,0.00,0.00,2013-11-19,2013-11-25,2
20131112,FL,77.43,22.57,0.00,0.00,0.00,0.00,2013-11-12,2013-11-18,2
20131105,FL,77.43,22.57,0.00,0.00,0.00,0.00,2013-11-05,2013-11-11,2
20131029,FL,83.07,16.93,0.00,0.00,0.00,0.00,2013-10-29,2013-11-04,2
20131022,FL,91.85,8.15,0.00,0.00,0.00,0.00,2013-10-22,2013-10-28,2
20131015,FL,100.00,0.00,0.00,0.00,0.00,0.00,2013-10-15,2013-10-21,2
20131008,FL,100.00,0.00,0.00,0.00,0.00,0.00,2013-10-08,2013-10-14,2
20131001,FL,100.00,0.00,0.00,0.00,0.00,0.00,2013-10-01,2013-10-07,2
20130924,FL,100.00,0.00,0.00,0.00,0.00,0.00,2013-09-24,2013-09-30,2
20130917,FL,100.00,0.00,0.00,0.00,0.00,0.00,2013-09-17,2013-09-23,2
20130910,FL,100.00,0.00,0.00,0.00,0.00,0.00,2013-09-10,2013-09-16,2
20130903,FL,100.00,0.00,0.00,0.00,0.00,0.00,2013-09-03,2013-09-09,2
20130827,FL,100.00,0.00,0.00,0.00,0.00,0.00,2013-08-27,2013-09-02,2
20130820,FL,100.00,0.00,0.00,0.00,0.00,0.00,2013-08-20,2013-08-26,2
20130813,FL,100.00,0.00,0.00,0.00,0.00,0.00,2013-08-13,2013-08-19,2
20130806,FL,100.00,0.00,0.00,0.00,0.00,0.00,2013-08-06,2013-08-12,2
20130730,FL,100.00,0.00,0.00,0.00,0.00,0.00,2013-07-30,2013-08-05,2
20130723,FL,100.00,0.00,0.00,0.00,0.00,0.00,2013-07-23,2013-07-29,2
20130716,FL,100.00,0.00,0.00,0.00,0.00,0.00,2013-07-16,2013-07-22,2
20130709,FL,100.00,0.00,0.00,0.00,0.00,0.00,2013-07-09,2013-07-15,2
20130702,FL,97.67,2.33,0.00,0.00,0.00,0.00,2013-07-02,2013-07-08,2
20130625,FL,83.19,16.81,0.00,0.00,0.00,0.00,2013-06-25,2013-07-01,2
20130618,FL,83.95,16.05,0.00,0.00,0.00,0.00,2013-06-18,2013-06-24,2
20130611,FL,83.59,16.41,0.00,0.00,0.00,0.00,2013-06-11,2013-06-17,2
20130604,FL,77.31,17.27,5.43,0.00,0.00,0.00,2013-06-04,2013-06-10,2
20130528,FL,65.41,22.69,8.56,3.35,0.00,0.00,2013-05-28,2013-06-03,2
20130521,FL,71.14,18.47,7.04,3.35,0.00,0.00,2013-05-21,2013-05-27,2
20130514,FL,73.08,16.54,7.04,3.35,0.00,0.00,2013-05-14,2013-05-20,2
20130507,FL,72.18,17.44,7.05,3.33,0.00,0.00,2013-05-07,2013-05-13,2
20130430,FL,49.80,20.79,20.29,9.11,0.00,0.00,2013-04-30,2013-05-06,2
20130423,FL,42.91,27.68,20.29,9.11,0.00,0.00,2013-04-23,2013-04-29,2
20130416,FL,33.99,29.80,31.33,4.88,0.00,0.00,2013-04-16,2013-04-22,2
20130409,FL,28.51,26.94,38.32,6.23,0.00,0.00,2013-04-09,2013-04-15,2
20130402,FL,27.13,14.64,52.00,6.23,0.00,0.00,2013-04-02,2013-04-08,2
20130326,FL,27.10,24.30,42.38,6.23,0.00,0.00,2013-03-26,2013-04-01,2
20130319,FL,24.06,23.86,40.89,11.18,0.00,0.00,2013-03-19,2013-03-25,2
20130312,FL,23.67,26.37,38.78,11.18,0.00,0.00,2013-03-12,2013-03-18,2
20130305,FL,23.67,31.70,34.26,10.36,0.00,0.00,2013-03-05,2013-03-11,2
20130226,FL,26.18,27.20,39.10,7.51,0.00,0.00,2013-02-26,2013-03-04,2
20130219,FL,8.63,19.51,59.21,9.83,2.82,0.00,2013-02-19,2013-02-25,2
20130212,FL,8.63,54.88,31.02,5.46,0.00,0.00,2013-02-12,2013-02-18,2
20130205,FL,8.63,57.70,28.06,5.62,0.00,0.00,2013-02-05,2013-02-11,2
20130129,FL,9.75,59.27,25.36,5.62,0.00,0.00,2013-01-29,2013-02-04,2
20130122,FL,32.47,58.50,9.03,0.01,0.00,0.00,2013-01-22,2013-01-28,2
20130115,FL,39.17,51.80,9.03,0.01,0.00,0.00,2013-01-15,2013-01-21,2
