MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20121225,AL,29.47,34.61,15.67,10.44,6.13,3.68,2012-12-25,2012-12-31,2
20121218,AL,27.70,35.89,15.65,10.95,6.13,3.68,2012-12-18,2012-12-24,2
20121211,AL,27.70,35.45,14.70,12.20,6.26,3.68,2012-12-11,2012-12-17,2
20121204,AL,26.86,35.40,14.87,12.93,6.26,3.68,2012-12-04,2012-12-10,2
20121127,AL,42.44,19.85,14.84,12.93,6.26,3.68,2012-11-27,2012-12-03,2
20121120,AL,54.95,15.00,9.91,12.08,4.37,3.68,2012-11-20,2012-11-26,2
20121113,AL,58.23,13.53,11.33,9.54,3.69,3.68,2012-11-13,2012-11-19,2
20121106,AL,56.54,15.25,10.74,10.10,3.69,3.68,2012-11-06,2012-11-12,2
20121030,AL,66.90,12.37,8.81,5.10,6.82,0.00,2012-10-30,2012-11-05,2
20121023,AL,73.52,7.67,6.88,5.10,6.82,0.00,2012-10-23,2012-10-29,2
20121016,AL,74.36,8.47,5.48,4.87,6.82,0.00,2012-10-16,2012-10-22,2
20121009,AL,76.42,6.41,5.48,4.87,6.82,0.00,2012-10-09,2012-10-15,2
20121002,AL,75.58,7.25,5.48,4.87,6.82,0.00,2012-10-02,2012-10-08,2
20120925,AL,71.58,9.00,4.06,6.67,8.69,0.00,2012-09-25,2012-10-01,2
20120918,AL,70.57,10.00,4.06,6.70,8.66,0.00,2012-09-18,2012-09-24,2
20120911,AL,68.56,12.01,4.06,6.70,8.66,0.00,2012-09-11,2012-09-17,2
20120904,AL,65.56,12.02,7.06,6.70,8.66,0.00,2012-09-04,2012-09-10,2
20120828,AL,55.69,17.09,11.86,6.70,8.66,0.00,2012-08-28,2012-09-03,2
20120821,AL,56.05,16.72,11.86,6.70,8.66,0.00,2012-08-21,2012-08-27,2
20120814,AL,46.49,26.29,10.98,7.59,8.66,0.00,2012-08-14,2012-08-20,2
20120807,AL,41.17,25.43,11.42,7.72,12.67,1.60,2012-08-07,2012-08-13,2
20120731,AL,16.44,36.82,23.04,9.12,12.84,1.74,2012-07-31,2012-08-06,2
20120724,AL,11.81,31.55,27.81,14.35,12.80,1.67,2012-07-24,2012-07-30,2
20120717,AL,10.15,31.29,29.21,13.70,14.56,1.08,2012-07-17,2012-07-23,2
20120710,AL,8.36,32.76,27.35,15.88,14.56,1.08,2012-07-10,2012-07-16,2
20120703,AL,8.52,33.47,26.47,15.89,14.56,1.08,2012-07-03,2012-07-09,2
20120626,AL,11.31,41.96,26.14,6.81,12.70,1.08,2012-06-26,2012-07-02,2
20120619,AL,42.59,30.98,8.88,4.97,11.52,1.06,2012-06-19,2012-06-25,2
20120612,AL,43.86,29.70,8.88,3.90,12.59,1.06,2012-06-12,2012-06-18,2
20120605,AL,13.63,44.14,13.14,8.24,17.99,2.85,2012-06-05,2012-06-11,2
20120529,AL,12.03,37.97,22.03,7.31,17.82,2.85,2012-05-29,2012-06-04,2
20120522,AL,15.46,36.28,21.22,6.36,17.82,2.85,2012-05-22,2012-05-28,2
20120515,AL,15.49,36.26,20.59,5.77,19.04,2.85,2012-05-15,2012-05-21,2
20120508,AL,9.38,40.59,22.34,5.01,19.70,2.99,2012-05-08,2012-05-14,2
20120501,AL,8.31,31.99,28.04,6.99,21.68,2.99,2012-05-01,2012-05-07,2
20120424,AL,40.85,26.19,8.29,7.00,14.68,2.99,2012-04-24,2012-04-30,2
20120417,AL,47.98,19.06,8.29,7.00,14.68,2.99,2012-04-17,2012-04-23,2
20120410,AL,52.26,14.77,8.29,7.00,14.91,2.76,2012-04-10,2012-04-16,2
20120403,AL,57.87,9.17,8.29,7.82,12.88,3.98,2012-04-03,2012-04-09,2
20120327,AL,57.87,9.17,8.29,7.82,12.88,3.98,2012-03-27,2012-04-02,2
20120320,AL,54.03,12.92,8.20,7.73,13.13,3.98,2012-03-20,2012-03-26,2
